0,HeartTeleport,320,304,,,,,,
0,SET,Loop,15,,,,,,
0,:RndAttack,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.4,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,JMPZ,End,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,4,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack5,,,,,,,
0,JMPABS,Attack6,,,,,,,
0,JMPABS,Attack7,,,,,,,
0,JMPABS,Attack8,,,,,,,
0,:Attack5,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,330,304,,,,,,
0,Platform,299,314,30,0,0,,,
0,Platform,299,354,30,0,0,,,
0,BoneVRepeat,121,364,30,2,0,50,13,
0,RND,Side,2,,,,,,
0,JMPZ,Attack5Other,$Side,,,,,,
0,SansX,323,,,,,,,
0,BoneVRepeat,521,280,35,2,240,2,13,
0,BoneVRepeat,1,319,65,0,240,2,13,
1,BoneVRepeat,521,280,35,2,240,2,13,
0,BoneVRepeat,1,319,65,0,240,2,13,
1,BoneVRepeat,521,280,35,2,240,2,13,
0,BoneVRepeat,1,319,65,0,240,2,13,
1,BoneVRepeat,521,280,35,2,240,2,13,
0,BoneVRepeat,1,319,65,0,240,2,13,
1,BoneVRepeat,521,280,35,2,240,2,13,
0,BoneVRepeat,1,319,65,0,240,2,13,
1.75,JMPABS,RndAttack,,,,,,,
0,SansX,323,,,,,,,
0,:Attack5Other,,,,,,,,
0,BoneVRepeat,119,280,35,0,240,2,13,
0,BoneVRepeat,639,319,65,2,240,2,13,
1,BoneVRepeat,119,280,35,0,240,2,13,
0,BoneVRepeat,639,319,65,2,240,2,13,
1,BoneVRepeat,119,280,35,0,240,2,13,
0,BoneVRepeat,639,319,65,2,240,2,13,
1,BoneVRepeat,119,280,35,0,240,2,13,
0,BoneVRepeat,639,319,65,2,240,2,13,
1.75,JMPABS,RndAttack,,,,,,,
0,:Attack6,,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,304,,,,,,
0,RND,Rot,3,,,,,,
0,JMPZ,Attack6Other,$Rot,,,,,,
0,JMPZ,Attack6Other2,$Rot,,,,,,
0,GasterBlaster,1,191,306,191,306,0,0.5,0.26666
0,GasterBlaster,1,321,166,321,166,90,0.5,0.26666
0,GasterBlaster,1,449,306,449,306,180,0.5,0.26666
0,GasterBlaster,1,321,446,321,446,270,0.5,0.26666
0.5,GasterBlaster,1,191,176,191,176,45,0.5,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.5,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.5,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.5,0.26666
0.5,GasterBlaster,1,191,306,191,306,0,0.5,0.26666
0,GasterBlaster,1,321,166,321,166,90,0.5,0.26666
0,GasterBlaster,1,449,306,449,306,180,0.5,0.26666
0,GasterBlaster,1,321,446,321,446,270,0.5,0.26666
0,SansX,501.5,,,,,,,
1,JMPABS,RndAttack,,,,,,,
0,:Attack6Other,,,,,,,,
0,GasterBlaster,1,191,176,191,176,45,0.5,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.5,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.5,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.5,0.26666
0.5,GasterBlaster,1,191,306,191,306,0,0.5,0.26666
0,GasterBlaster,1,321,166,321,166,90,0.5,0.26666
0,GasterBlaster,1,449,306,449,306,180,0.5,0.26666
0,GasterBlaster,1,321,446,321,446,270,0.5,0.26666
0.5,GasterBlaster,1,191,176,191,176,45,0.5,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.5,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.5,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.5,0.26666
0,SansX,163.5,,,,,,,
1,JMPABS,RndAttack,,,,,,,
0,:Attack6Other2,,,,,,,,
0,GasterBlaster,1,191,176,191,176,45,0.5,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.5,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.5,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.5,0.26666
0.5,GasterBlaster,1,191,306,191,306,0,0.5,0.26666
0,GasterBlaster,1,321,166,321,166,90,0.5,0.26666
0,GasterBlaster,1,449,306,449,306,180,0.5,0.26666
0,GasterBlaster,1,321,446,321,446,270,0.5,0.26666
0.5,GasterBlaster,1,191,176,191,176,45,0.5,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.5,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.5,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.5,0.26666
0,SansX,563.5,,,,,,,
1,JMPABS,RndAttack,,,,,,,
0,:Attack7,,,,,,,,
0,CombatZoneResizeInstant,179,226,404,391,,,,
0,HeartMode,0,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack7Other,$Side,,,,,,
0,HeartTeleport,382,304,,,,,,
0,SansX,133.5,,,,,,,
0.3,SineBones,72,-21,615,55,,,,
2.7,JMPABS,RndAttack,,,,,,,
0,:Attack7Other,,,,,,,,
0,HeartTeleport,267,304,,,,,,
0,SansX,463.5,,,,,,,
0.3,SineBones,72,21,615,55,,,,
2.7,JMPABS,RndAttack,,,,,,,
0,:Attack8,,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack8Other,$Side,,,,,,
0,HeartTeleport,489,376,,,,,,
0,SansX,323.5,,,,,,,
0,BoneVRepeat,345,340,100,0,120,20,150,
0,BoneVRepeat,297,260,70,2,120,20,150,
1,GasterBlaster,2,640,250,550,306,90,0,8
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
