0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,GasterBlaster,0,120,320,120,320,0,1,22,2
0,GasterBlaster,0,520,320,520,320,180,1,22,2
0,GasterBlaster,0,120,320,120,320,0,1,22,2
0,GasterBlaster,0,520,320,520,320,180,1,22,2
0,GasterBlaster,0,120,320,120,320,0,1,22,2
0,GasterBlaster,0,520,320,520,320,180,1,22,2
0,GasterBlaster,0,120,320,120,320,0,1,22,2
0,GasterBlaster,0,520,320,520,320,180,1,22,2
0,BoneVRepeat,128,335,50,0,150,40,100
0,BoneVRepeat,513,257,50,2,150,40,100
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0,BoneStab,3,65,0.4,0.3,
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0,BoneStab,1,65,0.4,0.3,
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0,BoneStab,3,65,0.4,0.3,
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0,BoneStab,1,65,0.4,0.3,
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0,BoneStab,3,65,0.4,0.3,
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0,BoneStab,1,65,0.4,0.3,
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0,BoneStab,3,65,0.4,0.3,
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0,BoneStab,1,65,0.4,0.3,
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0,BoneStab,3,65,0.4,0.3,
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0,BoneStab,1,65,0.4,0.3,
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0,BoneStab,3,65,0.4,0.3,
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0,BoneStab,1,65,0.4,0.3,
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0,BoneStab,3,65,0.4,0.3,
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0,BoneStab,1,65,0.4,0.3,
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0,BoneStab,3,65,0.4,0.3,
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0,BoneStab,1,65,0.4,0.3,
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0,BoneStab,3,65,0.4,0.3,
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0,BoneStab,1,65,0.4,0.3,
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0,BoneStab,3,65,0.4,0.3,
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0,BoneStab,1,65,0.4,0.3,
1,SansBody,HandUp,,,,
0,SansSlam,3,,,,
0,BoneStab,3,65,0.4,0.3,
1,SansBody,HandDown,,,,
0,SansSlam,1,,,,
0,BoneStab,1,65,0.4,0.3,
1,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.13333,BlackScreen,0,,,,,,,
0,Sound,Flash,,,,,,,
0,EndAttack,,,,,,,
